representative	grouped_terms	genes
spliceosomal tri-snRNP complex	spliceosomal tri-snRNP complex;U4/U6 x U5 tri-snRNP complex	SNRPD2;SNU13;PRPF8;PRPF6;SNRNP200;EFTUD2;TXNL4A;ZMAT2;LSM5;RBM42;SNRNP27;SNRPB;LSM2;SART1;SNRPG;LSM7;SNRPF;SNRPD1;PRPF4;SNRPGP15;SNRPE
melanosome	melanosome;pigment granule	RAC1;ATP7A;TPCN2;LAMP1;HSP90AB1;SLC2A1;ITGB3;CAPG;CLTC;YWHAB;PDIA3;DCT;MFSD12;CANX;RAB7A;SEC22B;PPIB;SDCBP;SLC1A4;RAB38;GGH;ANXA2;ATP6V1B2;DNAJC5;SYPL1;P4HB;RAB17;MYO5A;PDCD6IP;HSP90B1;PDIA6;YWHAZ;ANXA2P2;ATP1A1;HSPA5;SND1;GANAB;PDIA4;TFRC;CD63;FASN;ITGB1;YWHAE;RPN1;RAN;CCT4;TMEM33;CALU
secretory granule lumen	secretory granule lumen;cytoplasmic vesicle lumen;vesicle lumen	OLFM4;SERPINI1;MMP8;VTI1B;THBS1;SRP14;ACTR1B;BPI;ADA2;HSP90AB1;NEU1;INS;PDXK;PSMD3;APP;PSMC2;DBNL;MAPK1;PGAM1;TF;LCN2;OSCAR;FGA;DEFA4;HRG;PSMD11;TCN1;VCP;ROCK1;HEBP2;PKM;ALDOC;PSMA2;ARSB;CLU;MAPK14;PSMC3;XRCC6;PSMB7;VCL;FGG;XRCC5;CAP1;TTR;PDGFA;APRT;CYFIP1;SPTAN1;SCCPDH;SDCBP;ERP44;GGH;CDC37L1;PSMA5;COTL1;ANXA2;TXNDC5;FGB;APOH;ACTR2;CYRIB;GLB1;C6orf120;MPO;ACTN1;PRDX4;CHI3L1;ALB;KPNB1;F5;NME2;PSMD14;TIMP1;LYZ;FAF2;GDI2;PSMD12;AGA;GSTP1;PLG;DYNLT1;CCT8;FUCA2;CTSC;ARMC8;ILF2;FN1;PPIA;ACLY;HUWE1;HPSE;EEF2;RNASE2;PSMD2;PAFAH1B2;PGM2;PRTN3;FAM3C;TUBB;PA2G4;DEFA5;IMPDH2;DDX3X;SERPINE1;HSPA6;CCT2;TGFB2
eukaryotic 43S preinitiation complex	eukaryotic 43S preinitiation complex;translation preinitiation complex;formation of cytoplasmic translation initiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex	EIF3K;EIF3A;EIF3G;EIF3L;EIF3M;EIF3H;DHX29;EIF3E;EIF3C;EIF3B;EIF3F;EIF3J;EIF3D;EIF3I;EIF1AX;EIF2S1;EIF5;DDX3X
ribose phosphate biosynthetic process	ribose phosphate biosynthetic process;ribonucleotide biosynthetic process;purine ribonucleotide biosynthetic process	MPC2;HSD17B12;NDUFS6;MTHFD1;NDUFB4;CMPK1;ELOVL1;CAD;ATP5F1EP2;NDUFS4;PDK1;RFK;NDUFB6;NDUFS8;ADSS2;ADCY7;AMPD3;NDUFA12;ADK;ATP5MC1;ATP5MG;PPARGC1A;AMPD1;HPRT1;NDUFC2;PPT1;VCP;PPAT;CTPS1;HACD1;NME9;SLC25A13;NME7;ACACA;ELOVL2;ACSBG1;APRT;PRPS1;NME6;ACSL3;ELOVL4;PANK3;ATIC;NME2;G6PD;ATP6V0C;HACD2;PAPSS1;AK2;ACOT7;GART;GMPS;ATP6V1A;ACLY;ENO1;UMPS;ADSL;PAICS;NPPC;NPPB;ADCY6;PFAS;ACSL4;IMPDH2;UCK2;NME1;PRPSAP2;ELOVL6
amino acid activation	amino acid activation;tRNA aminoacylation;aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds	LRRC47;TARS3;GATC;PARS2;SARS1;EPRS1;LARS1;AARS2;TARS1;AARS1;MARS1;MARS2;GARS1;KARS1;RARS1;IARS1;CARS2;WARS2;FARSA;HARS1;FARSB;VARS1
histone demethylase activity	histone demethylase activity;protein demethylase activity;2-oxoglutarate-dependent dioxygenase activity;histone H3 demethylase activity;demethylase activity;dioxygenase activity	KDM5D;UTY
ribosomal subunit export from nucleus	ribosomal subunit export from nucleus;ribosome localization	NOP9;SDAD1;LTV1;RIOK2;NUP88;RPS15;NPM1;ABCE1;RAN;XPO1;EIF6
proteasome accessory complex	proteasome accessory complex;proteasome regulatory particle	PSMD8;PSMC5;PSMD6;PSMD1;PSMC1;PSMD3;PSMC2;PSMD9;PSMD11;PSMD5;PSMC3;PSMC4;ADRM1;PSME3;PSMC6;PSMD14;PSMD12;PSMD10;PSMD2
protein targeting to ER	protein targeting to ER;establishment of protein localization to endoplasmic reticulum	SRP14;SEC61A1;SEC62;GET4;RN7SL1;SRP9;EDEM1;SRP54;CHMP4B;SEC61G;BAG6;SPCS2;SRP19;SGTA;SRP68;SEC61B;SRPRA;TRAM1;HSPA5;SRPRB;SPCS3;RN7SL3;SRP72;SSR3;RAB10;RAB3GAP1
nuclear DNA-directed RNA polymerase complex	nuclear DNA-directed RNA polymerase complex;RNA polymerase complex;DNA-directed RNA polymerase complex	TAF7;ENY2;TRRAP;CTR9;POLA2;POLR2E;POLR1B;TAF6;POLR2M;POLR1A;GTF2H4;POLR3C;GTF2H2C;TAF4B;POLR3H;POLA1;GTF2H2;POLR3A;POLR3B;POLR3K;GTF2A1;POLR1G;TCEA1;TAF9B;POLR1F;PRIM1;PRIM2;MCM3;POLR2D;CDC73;GTF2H3;GTF2F1;POLR3D;POLR1E;PRIMPOL
U2 snRNP	U2 snRNP;U2-type prespliceosome assembly	SF3A3;SNRPD2;SF3A1;PHF5A;SF3B4;DDX46;SNRPB2;SF3B2;SNRPB;SNRPG;SNRPF;SNRPD1;SNRPGP15;SNRPE;SF3B3
positive regulation of translation	positive regulation of translation;positive regulation of amide metabolic process	HABP4;PKM;HNRNPU;EIF4G1;C1QBP;EIF2AK4;LARP1B;DHX29;PRMT1;YBX3;RMND1;EIF3E;ERBB2;EIF5AL1;SYNCRIP;NAT10;SERP1;CTIF;EIF3C;PRKDC;DHX9;HNRNPD;TENT5B;KHDRBS1;UHMK1;NPM1;AGO2;ELAVL1;EEF2;EIF3D;EIF5A;YBX1;EIF6;SSB;NSUN5;RPL26;DDX3X;RPL5;RPS4X;THBS1;MTOR;EIF4G2;PRR16;ROCK2;GSK3A;CLU;PICALM
basal transcription machinery binding	basal transcription machinery binding;basal RNA polymerase II transcription machinery binding	CTR9;URI1;HNRNPU;ERCC4;POLR2M;AGO1;BRD4;ZNHIT6;ESR1;ESRRB;RUVBL1;SCAF1;FBL;DRAP1;NOP58;GTF2A1;DHX9;LLPH;CDC73;AGO2;RUVBL2;ELOF1;GTF2F1;WDR43
GTPase binding	GTPase binding;small GTPase binding	DOCK3;RHOBTB3;IPO7;ATP7A;DENND5A;DAAM1;RGP1;EHD1;EXOC2;RPTOR;GAPVD1;EXOC8;HPS6;ROCK2;NCKAP1;PEX5L;IQGAP2;RBSN;PAK2;EXOC5;ROCK1;XPO4;C15orf62;RAB11FIP4;SYTL5;SH3BP4;DMXL2;XPO6;CHM;ATP6AP1;PKN2;CYFIP1;PEX5;GNB1;CHML;RAB7A;EPRS1;DNM1L;RABGEF1;AP1G1;YBX3;PPP6R1;MTSS2;RASGRP3;FLNA;IQGAP1;AIMP1;RAPGEF6;MAPKAP1;CYRIB;CLTA;XPOT;IPO8;TMEM127;DOCK7;RAB3IP;WASF1;NOX1;KPNB1;MYO5A;RAB8A;RUSC2;BICD2;MYO1C;AP3M1;XPO7;GDI2;XPO5;PFN1;RANBP1;LSM2;YIPF2;IARS1;TNPO1;PICALM;CAV1;USP6NL;RAB3GAP1;IPO9;NUTF2;DOCK5;RANGAP1;ENO1;MARCHF5;DAPK3;ANKFY1;CSE1L;MYO5B;YBX1;RAB11FIP1;IPO4;XPO1;KIF3B;SIKE1;EVI5;IPO5;RAB11FIP5;SYTL3;CORO1C
RNA-templated DNA biosynthetic process	RNA-templated DNA biosynthetic process;telomere maintenance via telomerase	NEK7;SMG6;RFC1;HSP90AB1;EXOSC10;MAPK1;TERF2;HNRNPU;ATR;ATM;XRCC5;MAP3K4;PINX1;NAF1;TEP1;PNKP;NAT10;TERF1;MAPKAPK5;TERF2IP;WRAP53;NOP10;CCT7;TCP1;GAR1;HNRNPA1;CCT8;CCT6A;NHP2;CCT3;GNL3L;DKC1;CCT5;CCT4;CCT2
RNA catabolic process	RNA catabolic process;mRNA catabolic process	AXIN2;NBDY;SAMD4A;HNRNPA0;DIS3;ZC3H18;DHX36;PABPC1;ETF1;LSM6;NANOS1;PRKCA;NCBP1;PATL1;TUT7;PNPT1;DIS3L2;SMG6;ELOC;ALKBH5;NSUN2;NT5C3B;GSPT1;TRNT1;QKI;SAMD4B;CNOT1;ZC3H14;PUM1;EXOSC10;ROCK2;AGO3;EXOSC4;DCP1B;AKT1;CAPRIN1;FTO;CNOT7;ROCK1;HNRNPU;MAPK14;LARP1B;ATM;CNOT10;NCBP2;IKBKE;OIP5-AS1;DCP1A;AGO1;TARDBP;EXOSC8;DCPS;PDE12;EXOSC5;RBM24;NAF1;IGF2BP2;RNPS1;PHAX;YBX3;EIF3E;MAGOH;PPP1R8;SYNCRIP;LSM5;GSPT2;CTIF;HNRNPAB;MTREX;EXOSC3;DHX9;HNRNPD;TRDMT1;EXOSC2;TENT5B;METTL1;LSM2;ZPR1;SND1;LSM7;DHX34;POP1;DDX49;KHSRP;NPM1;AGO2;ELAVL1;PCID2;RNASE2;CNOT6;CELF1;SERBP1;SMG1;DKC1;YBX1;EXOSC9;SSB;MAGOHB;MRTO4;RBM8A;XIST;RBM47
endosome to melanosome transport	endosome to melanosome transport;endosome to pigment granule transport;pigment granule maturation	BLOC1S6;AP1G1;RAB38;AP3D1;AP1M1;BLOC1S3;CD63
primary lysosome	primary lysosome;azurophil granule	CEACAM6;BPI;LAMP1;ADA2;MAPK1;RAB3D;NDUFC2;DEFA4;VCP;HEBP2;ARSB;CAP1;TTR;GLIPR1;SDCBP;GGH;ACP3;ANXA2;TXNDC5;SURF4;TMEM30A;LAMP2;ACTR2;DNAJC5;GLB1;C6orf120;MPO;CD68;VAMP7;ATP6V0C;MAGT1;LYZ;FAF2;SNAP23;GDI2;AGA;CCT8;FUCA2;CTSC;CD63;ACLY;RNASE2;ABCA13;PRTN3;TUBB;PA2G4;CKAP4;CCT2
signal recognition particle, endoplasmic reticulum targeting	signal recognition particle, endoplasmic reticulum targeting;signal recognition particle	SRP14;RN7SL1;SRP9;SRP54;SRP19;SRP68;RN7SL3;SRP72
azole transmembrane transport	azole transmembrane transport;azole transmembrane transporter activity	SLC15A4;SLC19A3;SLC38A5;SLC19A2;SLC7A1
dolichol-linked oligosaccharide biosynthetic process	dolichol-linked oligosaccharide biosynthetic process;oligosaccharide-lipid intermediate biosynthetic process	DPAGT1;ALG14;DOLK;DHDDS;ALG1;MPDU1;ALG6;RFT1;ALG9;ALG10B;NUS1;DOLPP1;ALG8;ALG3;ALG10;ALG11
miRNA binding	miRNA binding;regulatory RNA binding	HNRNPA1;AGO2;ELAVL1;YBX1;XIST;DHX9
cholesterol biosynthetic process	cholesterol biosynthetic process;secondary alcohol biosynthetic process	EBP;SREBF2;MBTPS2;ERLIN2;G6PD;HMGCR;FDPS;ACLY;HMGCS1;CYP51A1;MSMO1;DHCR24;SEC14L2
glycosylation	glycosylation;protein glycosylation;macromolecule glycosylation	GMPPB;A4GALT;PGM3;FUT10;GALNT16;GALNT4;FUT4;EXT2;ALG1;MPDU1;LARGE1;B3GNT7;STT3B;B3GALT6;GALNT6;ALG6;RFT1;POMT2;GALNT2;PLOD3;CHP1;DPY19L3;EDEM3;GOLGA2;GFPT1;B3GALNT1;ST3GAL6;TMEM258;EXT1;DAD1;SERP1;MGAT4C;MGAT5;ALG11;MAGT1;GCNT4;ALG9;UGGT1;ALG10B;NUS1;POGLUT1;NANS;DOLPP1;C1GALT1;ALG8;POMK;OSTC;B3GNT9;GBA2;STT3A;RPN2;MGAT2;ST6GALNAC4;TMTC4;RPN1;TMTC3;GALNTL6;TET3;NPC1;ALG3;ALG10;DPY19L1
regulation of proteasomal protein catabolic process	regulation of proteasomal protein catabolic process;regulation of proteolysis involved in protein catabolic process	PRICKLE1;STUB1;GSK3B;UBQLN2;PSMC1;RAD23B;NOP53;RBX1;HSP90AB1;GNA12;USP38;PSMC2;GSK3A;SUMO2;BBS7;AKT1;VCP;CLU;PSMC3;UBXN2A;UBQLN1;EIF3H;GCLC;RCHY1;NUDT15;SOCS5;PSMC4;UBE2K;BAG6;UFL1;RAD23A;TRIB1;COP1;SGTA;BAG2;USP9X;SMARCC1;PSME3;TMX1;PITHD1;PKD1;PSMF1;PSMC6;PSMD14;FBXO22;PABIR1;HSPBP1;BAG5;CSNK1A1;CAV1;PSMD10;DNAAF4;RPL11;RNF185;TMTC3;FBXW8;XPO1;RACK1;OPHN1;KLHL40;RNF139;DISC1;LATS1;CTSC;TRAF7;HIPK2;RPL23;PRMT6;RPS7;RPL5
negative regulation of nitric oxide biosynthetic process	negative regulation of nitric oxide biosynthetic process;negative regulation of nitric oxide metabolic process	ROCK2;ACP5;SIRPA;IL10;DYNLL1;CAV1;KHSRP;ATP2B4
regulatory ncRNA-mediated post-transcriptional gene silencing	regulatory ncRNA-mediated post-transcriptional gene silencing;post-transcriptional gene silencing	EIF4E2;HELZ;NCBP1;STAU1;CNOT1;PUM1;AGO3;ZMPSTE24;CNOT7;EIF4G1;TRUB1;NCBP2;OIP5-AS1;AGO1;MIR17HG;DHX9;LIMD1;XPO5;TSN;AGO2;ELAVL1;CNOT6;CELF1;RAN;EIF6;XIST;ELOC
hemoglobin complex	hemoglobin complex;oxygen transport;haptoglobin-hemoglobin complex	HBG2;HBA1;HBB;HBG1;HBA2;HBD;AHSP;HBM;HBQ1;HP
